id,name,location,time,date,date_time,department_id
2,Economics Department Senior Dinner,"Alumni Guest House Meeting Room, Library & Terrace",5:00-7:30pm,20170531,20170531&5:00-7:30pm,2
3,Economics Department Comps Poster Session,Great Hall,4:00-6:00pm,20170525,20170525&4:00-6:00pm,2
4,Economics Department Graduates & Family Reception,Burton Terrace,2:30-3:30pm,20170609,20170609&2:30-3:30pm,2
5,2017-18 Comps Info Mtg,Willis 203,12:00-1:00pm,20170509,20170509&12:00-1:00pm,2
6,Mandatory Bio Comps Meeting (Junior Majors),Olin 141,7:00-8:00pm,20170514,20170514&7:00-8:00pm,3
7,Biology Department Picnic,Bald Spot,5:00-6:30pm,20170518,20170518&5:00-6:30pm,3
8,Senior Biology Reception,AGH,5:00-6:30pm,20170606,20170606&5:00-6:30pm,3
9,Pace Analytical Visit,Sayles-Hill Great Space,11:30am-1:30pm,20170518,20170518&11:30am-1:30pm,3
10,Breaking Stereotypes & Improving Girl's & Women's STEM outcomes,Olin 141,12:00-1:00pm,20170511,20170511&12:00-1:00pm,3
11,Classes Begin,No location,8:30am,20171211,20171211&8:30am,3
12,Finishing to Start-Up:Identifying value of researcher in new companies,Olin 141,3:30-4:30pm,20170508,20170508&3:30-4:30pm,3
13,"Mark McKone, PhD",Olin 141,3:30-4:30pm,20171218,20171218&3:30-4:30pm,3
14,Halls and Houses Close for Seniors at 5 p.m.,No location,5:00pm,20170610,20170610&5:00pm,3
15,"""Palace into Temple: Architecture at Chan Chan, Peru""","O'Shaughnessy Educational Center Auditorium, University of St. Thomas",6:00-7:00pm,20170428,20170428&6:00-7:00pm,5
16,CS Tea Talk Series,CMC 209,4:00-5:00pm,20170525,20170525&4:00-5:00pm,6
17,LatAm Hist talk: Memorializing Rebels/Martyrs-Argentina+Refreshments,"Leighton Hall, Room 304",4:30-5:30pm,20170426,20170426&4:30-5:30pm,7
18,Against the Grain,Leighton 305,5:00-6:30pm,20170410,20170410&5:00-6:30pm,8
19,"""Which Came First?  The San Andreas Fault or the Pelona Schist""",Mudd 73,4:00-5:00pm,20170505,20170505&4:00-5:00pm,10
20,Breaking Stereotypes & Improving Girl's & Women's STEM outcomes,Olin 141,12:00-1:00pm,20170511,20170511&12:00-1:00pm,10
21,History Dept Open House - Everyone Welcome!,"Leighton 204, History Lounge",9:00am-3:00pm,20170616,20170616&9:00am-3:00pm,11
22,Hometown Ties: Carleton Celebrates 150 Years with Northfield,Northfield Historical Society,10:00am-5:00pm,20170618,20170618&10:00am-5:00pm,11
23,History Family / Faculty / Seniors Reception,Front lawn of Leighton Hall,2:30-3:30pm,20170609,20170609&2:30-3:30pm,11
24,Alice Lovejoy:Military Avant-Garde Experimentation-CzechArmyFilmStudio,Leighton 304,3:30-4:30pm,20170508,20170508&3:30-4:30pm,11
25,Honors Convocation,Skinner Chapel,3:00-4:00pm,20170526,20170526&3:00-4:00pm,11
26,History SDAs Welcome New Majors PARTY+All History Majors Pizza Party!,Leighton 204 (History Lounge - reserved),5:00-6:00pm,20170518,20170518&5:00-6:00pm,11
27,30 Minutes: Tom Ascher ’84,"Career Center, Sayles Hill 50",1:30-3:30pm,20170503,20170503&1:30-3:30pm,11
28,"History Alumni, Faculty, & Faculty Emeriti Reception",Leighton 204,3:00-4:00pm,20170616,20170616&3:00-4:00pm,11
29,Faculty hosted Senior History Majors Elegant Cocktail hour,"Alumni Guest House dining room, library, and patio",5:00-6:30pm,20170530,20170530&5:00-6:30pm,11
30,5 pm History Comps Panel & Celebration!,Leighton 304,5:00-6:00pm,20170511,20170511&5:00-6:00pm,11
31,"Liberal Arts, Humanities, and Entrepreneurship-Life after Carleton",Leighton 236,4:00-5:00pm,20170503,20170503&4:00-5:00pm,11
32,Annual History Department Picnic - Rain or Shine!,"2nd Leighton hallway, 202, 204, 218, 236 & front yard",5:00-6:30pm,20170523,20170523&5:00-6:30pm,11
33,12-1 pm Junior History Majors Mandatory Comps Meeting & Lunch,Leighton 236,12:00-1:00pm,20170511,20170511&12:00-1:00pm,11
34,The Study of Jewish Ethics: Where have we come? Where are we going?,Boliou Hall #104,3:00-4:45pm,20161230,20161230&3:00-4:45pm,12
